,행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,지역별중증사망수치,정규화사망수치,emci
92,부산광역시 사상구,26530,8.0,3.076923072,4.0,0.0,5.538461536,0.676616912,10.894776,182.49999999999997,0.708655706,32.18677752
93,전라남도 여수시,46130,6.023296088,7.115384616,4.5,0.0,6.153846152,0.517412936,8.91121072,164.79999999999998,0.654497099,33.221150512
94,충청남도 서산시,44210,4.558757208,13.769230775999999,1.0,0.0,4.92307692,0.278606968,8.966689632,128.3,0.839700193,33.496361504
95,부산광역시 사하구,26380,4.129012968,6.499999992,9.5,0.0,3.07692308,0.557213928,9.795811168,179.0,0.717117988,33.558961136
96,울산광역시 중구,31110,8.0,8.192307696,3.0,0.0,2.461538464,0.398009952,11.619573088,139.1,0.813588008,33.6714292
97,대전광역시 동구,30110,7.801073864,8.538461544,1.5,0.0,4.307692304,0.557213928,11.104812576,125.80000000000001,0.845744681,33.809254216
98,경기도 양주시,41630,4.522081448,8.192307696,2.5,0.0,4.307692304,0.31840796,14.137583136,137.2,0.818181818,33.978072544
99,부산광역시 기장군,26710,7.915187304,7.846153848,2.5,0.0,2.461538464,0.358208952,13.001244,158.7,0.766199226,34.082332568
100,충청남도 당진시,44830,4.6941984,12.576923088000001,2.0,0.0,6.153846152,0.238805968,8.58878896,146.39999999999998,0.771760155,34.252562568
101,대전광역시 대덕구,30230,7.945783656,9.192307704000001,2.5,0.0,2.461538464,0.517412936,12.498310176,105.89999999999999,0.893858801,35.115352936
102,전라북도 익산시,45140,4.383849712,8.846153856,4.0,0.0,8.0,0.95522388,9.041684608,161.20000000000002,0.624274662,35.226912056
103,경기도 이천시,41500,3.526653464,9.730769232,2.0,0.0,3.07692308,0.31840796,16.583938592,117.1,0.866779497,35.236692328
104,부산광역시 금정구,26410,7.986944224,9.0,5.0,0.0,3.692307696,0.597014928,9.165463392,185.9,0.700435203,35.44173024
105,대구광역시 동구,27140,7.529693168,8.769230760000001,4.0,0.0,4.307692304,0.676616912,10.476570208,166.0,0.748549323,35.759803352
106,전라북도 군산시,45130,6.971982408,8.307692304,4.0,0.0,7.384615384,0.557213928,8.889116512,156.39999999999998,0.760154739,36.110620536
107,인천광역시 중구,28110,0.0,9.538461528,1.5,0.0,4.92307692,1.313432832,19.779598048,108.39999999999999,0.887814313,37.054569328
108,충청남도 계룡시,44250,5.474554944,14.730769224000001,0.0,0.0,0.0,0.199004976,16.70123472,,0.486460348,37.105563864000004
109,전라남도 목포시,46110,7.957743144,3.038461536,10.5,0.0,3.692307696,0.915422888,11.313807168,128.1,0.774419729,37.417742432
110,경상남도 거제시,48310,6.68106788,7.269230760000001,4.0,0.0,4.307692304,0.199004976,15.4227904,117.1,0.532156673,37.87978632
111,전라남도 광양시,46230,7.21974312,10.730769239999999,2.0,0.0,2.461538464,0.199004976,15.828348832,91.0,0.313829787,38.439404632
112,대전광역시 중구,30140,7.922861304,11.269230768,2.5,0.0,4.307692304,1.91044776,10.794434144,113.9,0.874516441,38.70466628
113,경기도 광주시,41610,4.874985984,11.961538464,1.0,0.0,4.307692304,0.119402984,16.725753984,112.2,0.878626692,38.98937372
114,강원도 춘천시,42110,6.589478144,11.307692304,2.0,0.0,5.538461536,0.95522388,12.834806624,143.1,0.803916828,39.225662488
115,서울특별시 도봉구,11320,8.0,14.538461544,2.5,0.0,2.461538464,0.398009952,11.7010664,117.0,0.867021277,39.59907636
116,광주광역시 동구,29110,8.0,8.461538472,3.5,0.0,2.461538464,4.417910448,12.843905184,136.4,0.820116054,39.684892568
117,서울특별시 강북구,11305,8.0,12.0,4.5,0.0,3.07692308,0.597014928,11.768557472,127.3,0.842117988,39.94249548
118,충청남도 아산시,44200,4.649948304,8.269230768,3.5,0.0,5.538461536,0.31840796,18.71451904,106.1,0.893375242,40.99056760799999
119,부산광역시 연제구,26470,8.0,11.269230768,6.0,0.0,3.692307696,0.875621888,11.208604224,147.20000000000002,0.794003868,41.045764576
120,인천광역시 계양구,28245,8.0,8.730769224,4.0,0.0,2.461538464,0.597014928,17.724921248,109.3,0.885638298,41.514243864
121,부산광역시 수영구,26500,7.986047264,12.65384616,4.0,0.0,3.692307696,1.114427864,12.361647168,170.29999999999998,0.738152805,41.808276152
