행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화
전라남도 목포시,46110,0.994717893,0.126602564,0.525,0.373232764,0.461538462,0.114427861,0.353556474
전라남도 여수시,46130,0.752912011,0.296474359,0.225,0.43368836,0.769230769,0.064676617,0.278475335
전라남도 순천시,46150,0.806368427,0.461538462,0.575,0.342038434,0.923076923,0.089552239,0.433786142
전라남도 나주시,46170,0.835893411,0.290064103,0.05,0.443808513,0.538461538,0.084577114,0.274486728
전라남도 광양시,46230,0.90246789,0.447115385,0.1,0.341015048,0.307692308,0.024875622,0.494635901
전라남도 담양군,46710,0.947303509,0.47275641,0,0.564947125,0.384615385,0.069651741,0.093560972
전라남도 고흥군,46770,0.717556776,0.233974359,0.075,0.75942842,0.230769231,0.059701493,0.005473057
전라남도 보성군,46780,0.897509686,0.286858974,0.025,0.774475988,0.230769231,0.07960199,0.016630873
전라남도 화순군,46790,0.842246889,0.346153846,0.075,0.481597999,0.230769231,0.308457711,0.149802549
전라남도 장흥군,46800,0.816384498,0.243589744,0.05,0.590683395,0.307692308,0.07960199,0.050809573
전라남도 강진군,46810,0.883868396,0.362179487,0,0.628093848,0.384615385,0.07960199,0.053604379
전라남도 해남군,46820,0.603667576,0.131410256,0.05,0.650608346,0.461538462,0.064676617,0.056849801
전라남도 영암군,46830,0.808124977,0.248397436,0.025,0.516089906,0.230769231,0.034825871,0.121551812
전라남도 무안군,46840,0.795804213,0.136217949,0.025,0.440814161,0.384615385,0.049751244,0.329626165
전라남도 함평군,46860,0.851602696,0.278846154,0.025,0.629041428,0.153846154,0.07960199,0.02922531
전라남도 영광군,46870,0.794483687,0.118589744,0.025,0.500208468,0.307692308,0.089552239,0.128204017
전라남도 장성군,46880,0.894943379,0.294871795,0.025,0.680741386,0.076923077,0.039800995,0.087254064
전라남도 완도군,46890,0.755478317,0.184294872,0,0.670810749,0.461538462,0.049751244,0.05414626
전라남도 진도군,46900,0.861631224,0,0.025,0.559337452,0.230769231,0.054726368,0.055975327
전라남도 신안군,46910,0.679560489,0.184294872,0.025,0.655459955,0.461538462,0.074626866,0.016746373
경상북도 경주시,47130,0.096074547,0.326923077,0.25,0.606072092,0.923076923,0.054726368,0.188582672
경상북도 김천시,47150,0.736891281,0.280448718,0.025,0.630595459,0.384615385,0.044776119,0.197441969
경상북도 안동시,47170,0.656002791,0.314102564,0.125,0.515104423,0.846153846,0.094527363,0.179807522
경상북도 구미시,47190,0.546648229,0.40224359,0.15,0.228783686,0.692307692,0.049751244,0.782091437
경상북도 영주시,47210,0.842782574,0.344551282,0.1,0.612553538,0.307692308,0.064676617,0.114166036
경상북도 영천시,47230,0.663938409,0.166666667,0.025,0.604328545,0.461538462,0.054726368,0.112262771
경상북도 상주시,47250,0.6320589,0.280448718,0.05,0.639009969,0.538461538,0.054726368,0.067301279
경상북도 문경시,47280,0.743693239,0.251602564,0.025,0.633893037,0.307692308,0.059701493,0.086194529
경상북도 경산시,47290,0.463081312,0.33974359,0.15,0.406814995,0.384615385,0.049751244,0.406859009
경상북도 의성군,47730,0.77080141,0.118589744,0.025,0.848879961,0.692307692,0.049751244,0
경상북도 영덕군,47770,0.852649151,0.224358974,0,0.721676837,0.230769231,0.049751244,0.018770398
경상북도 청도군,47820,0.813631324,0.181089744,0.025,0.749914718,0.153846154,0.059701493,0.014383181
경상북도 고령군,47830,0.926511442,0.264423077,0,0.629079331,0.153846154,0.039800995,0.049437161
경상북도 성주군,47840,0.865854418,0.197115385,0,0.682598643,0.153846154,0.049751244,0.043747291
경상북도 칠곡군,47850,0.941398513,0.248397436,0,0.472425425,0.384615385,0.014925373,0.316840489
경상북도 예천군,47900,0.668336012,0.564102564,0,0.737292954,0.307692308,0.034825871,0.10730594
경상북도 봉화군,47920,0.791543646,0.330128205,0,1,0.230769231,0.024875622,0.005698063
경상북도 울진군,47930,0.796626428,0.310897436,0,0.680627677,0.307692308,0.044776119,0.09786861
경상남도 진주시,48170,0.725168492,0.383012821,0.425,0.328810219,0.692307692,0.119402985,0.38427835
경상남도 통영시,48220,0.890134669,0.09775641,0.15,0.439677065,0.230769231,0.044776119,0.185750444
경상남도 사천시,48240,0.894332947,0.28525641,0.075,0.541712466,0.461538462,0.054726368,0.176804124
경상남도 김해시,48250,0.917691321,0.274038462,0.675,0.312284426,0.461538462,0.054726368,0.575417094
경상남도 밀양시,48270,0.745312753,0.102564103,0.15,0.693704279,0.384615385,0.039800995,0.088569317
경상남도 거제시,48310,0.835133485,0.302884615,0.2,0.322935223,0.538461538,0.024875622,0.4819622
경상남도 양산시,48330,0.959038756,0.326923077,0.3,0.356252132,0.615384615,0.129353234,0.462484546
경상남도 의령군,48720,0.857246079,0.171474359,0,0.655952697,0.153846154,0.024875622,0.020688036
경상남도 함안군,48730,0.862416066,0.243589744,0.05,0.704165561,0.230769231,0.029850746,0.098295736
경상남도 창녕군,48740,0.84252096,0.096153846,0.025,0.59110033,0.307692308,0.059701493,0.04848305
경상남도 고성군,48820,0.853259583,0.084935897,0.025,0.719288936,0.230769231,0.039800995,0.04753632
경상남도 남해군,48840,0.764298439,0.213141026,0,0.712201039,0.230769231,0.034825871,0.015255575
경상남도 함양군,48870,0.851839394,0.278846154,0,0.621839821,0.307692308,0.039800995,0.040805078
경상남도 거창군,48880,0.845560663,0.376602564,0.05,0.54531327,0.307692308,0.049751244,0.107769274
경상남도 합천군,48890,0.713657485,0.125,0,0.691884926,0.384615385,0.059701493,0.006213009
