시군구명,시군구코드,,순환계통 사망자 수,순환계통 10만명당 사망률,순환계통 연령 표준화 사망률(10만명당),운수사고 사망자 수,운수사고 10만명당 사망률,운수사고 연령 표준화 사망률(10만명당),낙상 사망자수  ,낙상 10만명당 사망률,낙상 연령 표준화 사망률(10만명당),,,,,,,,
서울특별시 강북구,11305,,354,118.3,46.7,12,4,3.6,15,5,2.3,,,,,,,,
서울특별시 강서구,11500,,546,95.5,49.6,17,3,2.3,21,3.7,2.2,,,,,,,,
서울특별시 관악구,11620,,531,109.7,58.6,21,4.3,3.8,26,5.4,3,,,,,,,,
서울특별시 광진구,11215,,337,99.4,54,14,4.1,3.4,14,4.1,2.6,,,,,,,,
서울특별시 구로구,11530,,382,96.3,45.1,13,3.3,1.8,24,6,3.5,,,,,,,,
서울특별시 금천구,11545,,303,132.7,67.2,25,11,8.1,15,6.6,3.1,,,,,,,,
서울특별시 노원구,11350,,545,106.4,49.3,13,2.5,1.9,31,6.1,3.4,,,,,,,,
서울특별시 도봉구,11320,,342,107.6,42,8,2.5,1.9,22,6.9,3.1,,,,,,,,
서울특별시 동대문구,11230,,407,121.5,55.2,23,6.9,3.7,15,4.5,2.3,,,,,,,,
서울특별시 동작구,11590,,349,91,41.6,11,2.9,1.8,14,3.7,1.7,,,,,,,,
서울특별시 마포구,11440,,307,84.3,42,10,2.7,1.9,13,3.6,2,,,,,,,,
서울특별시 서대문구,11410,,361,119.1,52,12,4,3.1,11,3.6,1.9,,,,,,,,
서울특별시 서초구,11650,,266,64.7,34.6,8,1.9,1.8,16,3.9,2.2,,,,,,,,
서울특별시 성동구,11200,,242,84.8,41.4,10,3.5,2.5,21,7.4,4.4,,,,,,,,
서울특별시 성북구,11290,,476,111.3,51.6,18,4.2,3,21,4.9,2.7,,,,,,,,
서울특별시 송파구,11710,,474,72.3,41.1,20,3.1,2.5,14,2.1,1.2,,,,,,,,
서울특별시 양천구,11470,,375,84,46.4,23,5.2,4.1,17,3.8,2.1,,,,,,,,
서울특별시 영등포구,11560,,420,112.8,57.3,20,5.4,4,11,3,1.6,,,,,,,,
서울특별시 용산구,11170,,247,113.1,51.5,5,2.3,1.5,14,6.4,2.9,,,,,,,,
서울특별시 은평구,11380,,552,117.5,53,25,5.3,3.8,15,3.2,1.7,,,,,,,,
서울특별시 종로구,11110,,229,160.4,64.5,7,4.9,2.5,11,7.7,3.7,,,,,,,,
서울특별시 중구,11140,,194,161.1,64.8,4,3.3,2.9,10,8.3,3.2,,,,,,,,
서울특별시 중랑구,11260,,401,103.7,48.7,23,5.9,4.2,30,7.8,3.3,,,,,,,,
세종특별자치시 세종시,36110,,245,67.5,46.8,15,4.1,4.2,9,2.5,2.1,,,,,,,,
울산광역시 남구,31140,,377,119.6,80.3,18,5.7,4.6,12,3.8,2.3,,,,,,,,
