,Unnamed: 0,소방서명,구급차 대수,주소,시군구 코드,시군구 ,2023년03월_계_총인구수,순위,인구별구급차
159,82,경상북도 영덕소방서,5,경상북도 영덕군 영덕읍 경동로 8401,47770,경상북도 영덕군,34515,26.0,0.00014486455164421265
160,88,경상북도 청도소방서,4,경상북도 청도군 청도읍 중앙로 192-34,47820,경상북도 청도군,41665,50.0,9.600384015360615e-05
161,74,경상북도 고령소방서,4,경상북도 고령군 대가야읍 벽화길 18,47830,경상북도 고령군,30320,30.0,0.00013192612137203166
162,80,경상북도 성주소방서,4,경상북도 성주군 성주읍 주산로 193,47840,경상북도 성주군,42556,54.0,9.399379640943698e-05
163,90,경상북도 칠곡소방서,7,경상북도 칠곡군 기산면 칠곡대로 1216,47850,경상북도 칠곡군,111894,80.0,6.255920782168839e-05
164,85,경상북도 예천소방서,6,경상북도 예천군 예천읍 양궁로 61-12,47900,경상북도 예천군,55651,42.0,0.00010781477421789366
165,78,경상북도 봉화소방서,5,경상북도 봉화군 봉화읍 내성천3길 152,47920,경상북도 봉화군,30037,18.0,0.00016646136431734194
166,86,경상북도 울진소방서,6,경상북도 울진군 울진읍 울진북로 508,47930,경상북도 울진군,46824,34.0,0.00012813941568426448
167,65,경상남도 진주소방서,11,경상남도 진주시 동진로 249,48170,경상남도 진주시,342923,118.0,3.2077171843241776e-05
168,67,경상남도 통영소방서,5,경상남도 통영시 광도면 죽림4로 49,48220,경상남도 통영시,121903,104.0,4.101621781252307e-05
169,59,경상남도 사천소방서,8,경상남도 사천시 남일로 29,48240,경상남도 사천시,109068,73.0,7.334873656801261e-05
170,54,경상남도 김해동부소방서,8,경상남도 김해시 김해대로 2507,48250,경상남도 김해시,533541,171.0,1.499416164830819e-05
171,58,경상남도 밀양소방서,7,경상남도 밀양시 밀양대공원로 66,48270,경상남도 밀양시,102707,77.0,6.815504298635925e-05
172,51,경상남도 거제소방서,9,경상남도 거제시 진목로 1,48310,경상남도 거제시,235350,110.0,3.824091778202677e-05
173,63,경상남도 양산소방서,10,경상남도 양산시 물금읍 황산로 719,48330,경상남도 양산시,353816,122.0,2.8263278088045765e-05
174,64,경상남도 의령소방서,4,경상남도 의령군 의령읍 의병로 108-17,48720,경상남도 의령군,25898,23.0,0.00015445208124179472
175,69,경상남도 함안소방서,5,경상남도 함안군 가야읍 선왕길 59,48730,경상남도 함안군,61100,62.0,8.183306055646482e-05
176,66,경상남도 창녕소방서,6,경상남도 창녕군 대지면 우포2로 1097,48740,경상남도 창녕군,57998,44.0,0.00010345184316700576
177,53,경상남도 고성소방서,5,경상남도 고성군 고성읍 남해안대로 2670,48820,경상남도 고성군,50115,46.0,9.977052778609199e-05
178,56,경상남도 남해소방서,5,경상남도 남해군 남해읍 스포츠로 81,48840,경상남도 남해군,41425,37.0,0.00012070006035003017
179,70,경상남도 함양소방서,6,경상남도 함양군 함양읍 고운로 161-41,48870,경상남도 함양군,37386,20.0,0.00016048788316482104
180,52,경상남도 거창소방서,6,경상남도 거창군 거창읍 거함대로 3324,48880,경상남도 거창군,60462,47.0,9.92358836955443e-05
181,71,경상남도 합천소방서,7,경상남도 합천군 합천읍 인덕로 2453,48890,경상남도 합천군,41919,17.0,0.00016698871633388202
