,시군구,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차수,의사수,지방소멸,EMCI,EMCI순위
50,광주광역시 남구,29155,155.0,59,11.0,40.5,115.0,34,74.0,488.5,153.0
14,서울특별시 양천구,11470,20.0,29,161.0,26.5,157.0,47,43.0,483.5,154.0
19,서울특별시 동작구,11590,20.0,8,159.0,35.5,168.0,24,59.0,473.5,155.0
39,대구광역시 수성구,27290,157.0,25,9.0,26.5,176.0,34,44.0,471.5,156.5
16,서울특별시 구로구,11530,20.0,26,120.0,54.5,152.0,28,71.0,471.5,156.5
64,경기도 부천시,41190,20.0,41,111.0,32.0,173.0,51,40.0,468.0,158.0
3,서울특별시 성동구,11200,20.0,16,145.0,26.5,172.0,30,50.0,459.5,159.0
2,서울특별시 용산구,11170,20.0,9,174.0,35.5,125.0,30,58.0,451.5,160.0
15,서울특별시 강서구,11500,20.0,36,76.0,26.5,180.0,55,54.0,447.5,161.0
52,광주광역시 광산구,29200,94.0,125,23.0,13.0,124.0,65,3.0,447.0,162.0
4,서울특별시 광진구,11215,20.0,22,164.0,17.0,160.0,24,38.0,445.0,163.0
33,부산광역시 수영구,26500,73.0,51,36.0,47.5,96.0,24,104.0,431.5,164.0
12,서울특별시 서대문구,11410,20.0,13,134.0,47.5,142.0,11,63.0,430.5,165.0
13,서울특별시 마포구,11440,20.0,16,175.0,5.5,134.0,55,23.0,428.5,166.0
131,전라남도 순천시,46150,75.0,74,6.0,60.0,92.0,60,56.0,423.0,167.0
27,부산광역시 부산진구,26230,20.0,124,24.0,15.5,132.0,13,86.0,414.5,168.0
25,부산광역시 중구,26110,20.0,214,10.0,13.0,12.0,10,127.0,406.0,169.0
32,부산광역시 연제구,26470,20.0,70,22.0,40.5,108.0,47,93.0,400.5,170.0
55,대전광역시 서구,30170,95.0,50,28.0,7.0,178.0,20,20.0,398.0,171.0
56,대전광역시 유성구,30200,40.0,32,58.0,8.5,153.0,83,5.0,379.5,172.0
5,서울특별시 동대문구,11230,20.0,40,39.0,26.5,150.0,15,72.0,362.5,173.0
24,서울특별시 강동구,11740,20.0,24,63.0,15.5,162.0,18,53.0,355.5,174.0
23,서울특별시 송파구,11710,20.0,7,80.0,10.5,175.0,13,35.0,340.5,175.0
68,경기도 구리시,41310,20.0,46,49.0,13.0,147.0,23,30.0,328.0,176.0
21,서울특별시 서초구,11650,20.0,2,82.0,2.5,181.0,8,27.0,322.5,177.0
18,서울특별시 영등포구,11560,20.0,15,57.0,10.5,146.0,17,49.0,314.5,178.0
1,서울특별시 중구,11140,20.0,18,60.0,2.5,103.0,6,83.0,292.5,179.0
49,광주광역시 서구,29140,20.0,57,5.0,8.5,123.0,28,39.0,280.5,180.0
0,서울특별시 종로구,11110,20.0,19,56.0,4.0,93.0,1,78.0,271.0,181.0
22,서울특별시 강남구,11680,20.0,4,15.0,1.0,156.0,4,25.0,225.0,182.0
